palace,gua_name,gua_order,source_ref
乾,乾为天,1,京房八宫卦序（通行表）·待复核
乾,天风姤,2,京房八宫卦序（通行表）·待复核
乾,天山遁,3,京房八宫卦序（通行表）·待复核
乾,天地否,4,京房八宫卦序（通行表）·待复核
乾,风地观,5,京房八宫卦序（通行表）·待复核
乾,山地剥,6,京房八宫卦序（通行表）·待复核
乾,火地晋,7,京房八宫卦序（通行表）·待复核
乾,火天大有,8,京房八宫卦序（通行表）·待复核
兑,兑为泽,1,京房八宫卦序（通行表）·待复核
兑,泽水困,2,京房八宫卦序（通行表）·待复核
兑,泽地萃,3,京房八宫卦序（通行表）·待复核
兑,泽山咸,4,京房八宫卦序（通行表）·待复核
兑,水山蹇,5,京房八宫卦序（通行表）·待复核
兑,地山谦,6,京房八宫卦序（通行表）·待复核
兑,雷山小过,7,京房八宫卦序（通行表）·待复核
兑,雷泽归妹,8,京房八宫卦序（通行表）·待复核
离,离为火,1,京房八宫卦序（通行表）·待复核
离,火山旅,2,京房八宫卦序（通行表）·待复核
离,火风鼎,3,京房八宫卦序（通行表）·待复核
离,火水未济,4,京房八宫卦序（通行表）·待复核
离,山水蒙,5,京房八宫卦序（通行表）·待复核
离,风水涣,6,京房八宫卦序（通行表）·待复核
离,天水讼,7,京房八宫卦序（通行表）·待复核
离,天火同人,8,京房八宫卦序（通行表）·待复核
震,震为雷,1,京房八宫卦序（通行表）·待复核
震,雷地豫,2,京房八宫卦序（通行表）·待复核
震,雷水解,3,京房八宫卦序（通行表）·待复核
震,雷风恒,4,京房八宫卦序（通行表）·待复核
震,地风升,5,京房八宫卦序（通行表）·待复核
震,水风井,6,京房八宫卦序（通行表）·待复核
震,泽风大过,7,京房八宫卦序（通行表）·待复核
震,泽雷随,8,京房八宫卦序（通行表）·待复核
巽,巽为风,1,京房八宫卦序（通行表）·待复核
巽,风天小畜,2,京房八宫卦序（通行表）·待复核
巽,风火家人,3,京房八宫卦序（通行表）·待复核
巽,风雷益,4,京房八宫卦序（通行表）·待复核
巽,天雷无妄,5,京房八宫卦序（通行表）·待复核
巽,火雷噬嗑,6,京房八宫卦序（通行表）·待复核
巽,山雷颐,7,京房八宫卦序（通行表）·待复核
巽,山风蛊,8,京房八宫卦序（通行表）·待复核
坎,坎为水,1,京房八宫卦序（通行表）·待复核
坎,水泽节,2,京房八宫卦序（通行表）·待复核
坎,水雷屯,3,京房八宫卦序（通行表）·待复核
坎,水火既济,4,京房八宫卦序（通行表）·待复核
坎,泽火革,5,京房八宫卦序（通行表）·待复核
坎,雷火丰,6,京房八宫卦序（通行表）·待复核
坎,地火明夷,7,京房八宫卦序（通行表）·待复核
坎,地水师,8,京房八宫卦序（通行表）·待复核
艮,艮为山,1,京房八宫卦序（通行表）·待复核
艮,山火贲,2,京房八宫卦序（通行表）·待复核
艮,山天大畜,3,京房八宫卦序（通行表）·待复核
艮,山泽损,4,京房八宫卦序（通行表）·待复核
艮,火泽睽,5,京房八宫卦序（通行表）·待复核
艮,天泽履,6,京房八宫卦序（通行表）·待复核
艮,风泽中孚,7,京房八宫卦序（通行表）·待复核
艮,风山渐,8,京房八宫卦序（通行表）·待复核
坤,坤为地,1,京房八宫卦序（通行表）·待复核
坤,地雷复,2,京房八宫卦序（通行表）·待复核
坤,地泽临,3,京房八宫卦序（通行表）·待复核
坤,地天泰,4,京房八宫卦序（通行表）·待复核
坤,雷天大壮,5,京房八宫卦序（通行表）·待复核
坤,泽天夬,6,京房八宫卦序（通行表）·待复核
坤,水天需,7,京房八宫卦序（通行表）·待复核
坤,水地比,8,京房八宫卦序（通行表）·待复核
