tiangan,stage,dizhi,source_ref
甲,长生,亥,十二长生通行表（火土同宫）·待复核
甲,沐浴,子,十二长生通行表（火土同宫）·待复核
甲,冠带,丑,十二长生通行表（火土同宫）·待复核
甲,临官,寅,十二长生通行表（火土同宫）·待复核
甲,帝旺,卯,十二长生通行表（火土同宫）·待复核
甲,衰,辰,十二长生通行表（火土同宫）·待复核
甲,病,巳,十二长生通行表（火土同宫）·待复核
甲,死,午,十二长生通行表（火土同宫）·待复核
甲,墓,未,十二长生通行表（火土同宫）·待复核
甲,绝,申,十二长生通行表（火土同宫）·待复核
甲,胎,酉,十二长生通行表（火土同宫）·待复核
甲,养,戌,十二长生通行表（火土同宫）·待复核
乙,长生,午,十二长生通行表（火土同宫）·待复核
乙,沐浴,巳,十二长生通行表（火土同宫）·待复核
乙,冠带,辰,十二长生通行表（火土同宫）·待复核
乙,临官,卯,十二长生通行表（火土同宫）·待复核
乙,帝旺,寅,十二长生通行表（火土同宫）·待复核
乙,衰,丑,十二长生通行表（火土同宫）·待复核
乙,病,子,十二长生通行表（火土同宫）·待复核
乙,死,亥,十二长生通行表（火土同宫）·待复核
乙,墓,戌,十二长生通行表（火土同宫）·待复核
乙,绝,酉,十二长生通行表（火土同宫）·待复核
乙,胎,申,十二长生通行表（火土同宫）·待复核
乙,养,未,十二长生通行表（火土同宫）·待复核
丙,长生,寅,十二长生通行表（火土同宫）·待复核
丙,沐浴,卯,十二长生通行表（火土同宫）·待复核
丙,冠带,辰,十二长生通行表（火土同宫）·待复核
丙,临官,巳,十二长生通行表（火土同宫）·待复核
丙,帝旺,午,十二长生通行表（火土同宫）·待复核
丙,衰,未,十二长生通行表（火土同宫）·待复核
丙,病,申,十二长生通行表（火土同宫）·待复核
丙,死,酉,十二长生通行表（火土同宫）·待复核
丙,墓,戌,十二长生通行表（火土同宫）·待复核
丙,绝,亥,十二长生通行表（火土同宫）·待复核
丙,胎,子,十二长生通行表（火土同宫）·待复核
丙,养,丑,十二长生通行表（火土同宫）·待复核
丁,长生,酉,十二长生通行表（火土同宫）·待复核
丁,沐浴,申,十二长生通行表（火土同宫）·待复核
丁,冠带,未,十二长生通行表（火土同宫）·待复核
丁,临官,午,十二长生通行表（火土同宫）·待复核
丁,帝旺,巳,十二长生通行表（火土同宫）·待复核
丁,衰,辰,十二长生通行表（火土同宫）·待复核
丁,病,卯,十二长生通行表（火土同宫）·待复核
丁,死,寅,十二长生通行表（火土同宫）·待复核
丁,墓,丑,十二长生通行表（火土同宫）·待复核
丁,绝,子,十二长生通行表（火土同宫）·待复核
丁,胎,亥,十二长生通行表（火土同宫）·待复核
丁,养,戌,十二长生通行表（火土同宫）·待复核
戊,长生,寅,十二长生通行表（火土同宫）·待复核
戊,沐浴,卯,十二长生通行表（火土同宫）·待复核
戊,冠带,辰,十二长生通行表（火土同宫）·待复核
戊,临官,巳,十二长生通行表（火土同宫）·待复核
戊,帝旺,午,十二长生通行表（火土同宫）·待复核
戊,衰,未,十二长生通行表（火土同宫）·待复核
戊,病,申,十二长生通行表（火土同宫）·待复核
戊,死,酉,十二长生通行表（火土同宫）·待复核
戊,墓,戌,十二长生通行表（火土同宫）·待复核
戊,绝,亥,十二长生通行表（火土同宫）·待复核
戊,胎,子,十二长生通行表（火土同宫）·待复核
戊,养,丑,十二长生通行表（火土同宫）·待复核
己,长生,酉,十二长生通行表（火土同宫）·待复核
己,沐浴,申,十二长生通行表（火土同宫）·待复核
己,冠带,未,十二长生通行表（火土同宫）·待复核
己,临官,午,十二长生通行表（火土同宫）·待复核
己,帝旺,巳,十二长生通行表（火土同宫）·待复核
己,衰,辰,十二长生通行表（火土同宫）·待复核
己,病,卯,十二长生通行表（火土同宫）·待复核
己,死,寅,十二长生通行表（火土同宫）·待复核
己,墓,丑,十二长生通行表（火土同宫）·待复核
己,绝,子,十二长生通行表（火土同宫）·待复核
己,胎,亥,十二长生通行表（火土同宫）·待复核
己,养,戌,十二长生通行表（火土同宫）·待复核
庚,长生,巳,十二长生通行表（火土同宫）·待复核
庚,沐浴,午,十二长生通行表（火土同宫）·待复核
庚,冠带,未,十二长生通行表（火土同宫）·待复核
庚,临官,申,十二长生通行表（火土同宫）·待复核
庚,帝旺,酉,十二长生通行表（火土同宫）·待复核
庚,衰,戌,十二长生通行表（火土同宫）·待复核
庚,病,亥,十二长生通行表（火土同宫）·待复核
庚,死,子,十二长生通行表（火土同宫）·待复核
庚,墓,丑,十二长生通行表（火土同宫）·待复核
庚,绝,寅,十二长生通行表（火土同宫）·待复核
庚,胎,卯,十二长生通行表（火土同宫）·待复核
庚,养,辰,十二长生通行表（火土同宫）·待复核
辛,长生,子,十二长生通行表（火土同宫）·待复核
辛,沐浴,亥,十二长生通行表（火土同宫）·待复核
辛,冠带,戌,十二长生通行表（火土同宫）·待复核
辛,临官,酉,十二长生通行表（火土同宫）·待复核
辛,帝旺,申,十二长生通行表（火土同宫）·待复核
辛,衰,未,十二长生通行表（火土同宫）·待复核
辛,病,午,十二长生通行表（火土同宫）·待复核
辛,死,巳,十二长生通行表（火土同宫）·待复核
辛,墓,辰,十二长生通行表（火土同宫）·待复核
辛,绝,卯,十二长生通行表（火土同宫）·待复核
辛,胎,寅,十二长生通行表（火土同宫）·待复核
辛,养,丑,十二长生通行表（火土同宫）·待复核
壬,长生,申,十二长生通行表（火土同宫）·待复核
壬,沐浴,酉,十二长生通行表（火土同宫）·待复核
壬,冠带,戌,十二长生通行表（火土同宫）·待复核
壬,临官,亥,十二长生通行表（火土同宫）·待复核
壬,帝旺,子,十二长生通行表（火土同宫）·待复核
壬,衰,丑,十二长生通行表（火土同宫）·待复核
壬,病,寅,十二长生通行表（火土同宫）·待复核
壬,死,卯,十二长生通行表（火土同宫）·待复核
壬,墓,辰,十二长生通行表（火土同宫）·待复核
壬,绝,巳,十二长生通行表（火土同宫）·待复核
壬,胎,午,十二长生通行表（火土同宫）·待复核
壬,养,未,十二长生通行表（火土同宫）·待复核
癸,长生,卯,十二长生通行表（火土同宫）·待复核
癸,沐浴,寅,十二长生通行表（火土同宫）·待复核
癸,冠带,丑,十二长生通行表（火土同宫）·待复核
癸,临官,子,十二长生通行表（火土同宫）·待复核
癸,帝旺,亥,十二长生通行表（火土同宫）·待复核
癸,衰,戌,十二长生通行表（火土同宫）·待复核
癸,病,酉,十二长生通行表（火土同宫）·待复核
癸,死,申,十二长生通行表（火土同宫）·待复核
癸,墓,未,十二长生通行表（火土同宫）·待复核
癸,绝,午,十二长生通行表（火土同宫）·待复核
癸,胎,巳,十二长生通行表（火土同宫）·待复核
癸,养,辰,十二长生通行表（火土同宫）·待复核
