gua,tiangan_najia,dizhi_najia,source_ref
乾为天,甲壬,子寅辰午申戌,《增删卜易》纳甲歌规则推算·待复核
天风姤,辛壬,丑亥酉午申戌,《增删卜易》纳甲歌规则推算·待复核
天山遁,丙壬,辰午申午申戌,《增删卜易》纳甲歌规则推算·待复核
天地否,乙壬,未巳卯午申戌,《增删卜易》纳甲歌规则推算·待复核
风地观,乙辛,未巳卯未巳卯,《增删卜易》纳甲歌规则推算·待复核
山地剥,乙丙,未巳卯戌子寅,《增删卜易》纳甲歌规则推算·待复核
火地晋,乙己,未巳卯酉未巳,《增删卜易》纳甲歌规则推算·待复核
火天大有,甲己,子寅辰酉未巳,《增删卜易》纳甲歌规则推算·待复核
兑为泽,丁丁,巳卯丑亥酉未,《增删卜易》纳甲歌规则推算·待复核
泽水困,戊丁,寅辰午亥酉未,《增删卜易》纳甲歌规则推算·待复核
泽地萃,乙丁,未巳卯亥酉未,《增删卜易》纳甲歌规则推算·待复核
泽山咸,丙丁,辰午申亥酉未,《增删卜易》纳甲歌规则推算·待复核
水山蹇,丙戊,辰午申申戌子,《增删卜易》纳甲歌规则推算·待复核
地山谦,丙癸,辰午申丑亥酉,《增删卜易》纳甲歌规则推算·待复核
雷山小过,丙庚,辰午申午申戌,《增删卜易》纳甲歌规则推算·待复核
雷泽归妹,丁庚,巳卯丑午申戌,《增删卜易》纳甲歌规则推算·待复核
离为火,己己,卯丑亥酉未巳,《增删卜易》纳甲歌规则推算·待复核
火山旅,丙己,辰午申酉未巳,《增删卜易》纳甲歌规则推算·待复核
火风鼎,辛己,丑亥酉酉未巳,《增删卜易》纳甲歌规则推算·待复核
火水未济,戊己,寅辰午酉未巳,《增删卜易》纳甲歌规则推算·待复核
山水蒙,戊丙,寅辰午戌子寅,《增删卜易》纳甲歌规则推算·待复核
风水涣,戊辛,寅辰午未巳卯,《增删卜易》纳甲歌规则推算·待复核
天水讼,戊壬,寅辰午午申戌,《增删卜易》纳甲歌规则推算·待复核
天火同人,己壬,卯丑亥午申戌,《增删卜易》纳甲歌规则推算·待复核
震为雷,庚庚,子寅辰午申戌,《增删卜易》纳甲歌规则推算·待复核
雷地豫,乙庚,未巳卯午申戌,《增删卜易》纳甲歌规则推算·待复核
雷水解,戊庚,寅辰午午申戌,《增删卜易》纳甲歌规则推算·待复核
雷风恒,辛庚,丑亥酉午申戌,《增删卜易》纳甲歌规则推算·待复核
地风升,辛癸,丑亥酉丑亥酉,《增删卜易》纳甲歌规则推算·待复核
水风井,辛戊,丑亥酉申戌子,《增删卜易》纳甲歌规则推算·待复核
泽风大过,辛丁,丑亥酉亥酉未,《增删卜易》纳甲歌规则推算·待复核
泽雷随,庚丁,子寅辰亥酉未,《增删卜易》纳甲歌规则推算·待复核
巽为风,辛辛,丑亥酉未巳卯,《增删卜易》纳甲歌规则推算·待复核
风天小畜,甲辛,子寅辰未巳卯,《增删卜易》纳甲歌规则推算·待复核
风火家人,己辛,卯丑亥未巳卯,《增删卜易》纳甲歌规则推算·待复核
风雷益,庚辛,子寅辰未巳卯,《增删卜易》纳甲歌规则推算·待复核
天雷无妄,庚壬,子寅辰午申戌,《增删卜易》纳甲歌规则推算·待复核
火雷噬嗑,庚己,子寅辰酉未巳,《增删卜易》纳甲歌规则推算·待复核
山雷颐,庚丙,子寅辰戌子寅,《增删卜易》纳甲歌规则推算·待复核
山风蛊,辛丙,丑亥酉戌子寅,《增删卜易》纳甲歌规则推算·待复核
坎为水,戊戊,寅辰午申戌子,《增删卜易》纳甲歌规则推算·待复核
水泽节,丁戊,巳卯丑申戌子,《增删卜易》纳甲歌规则推算·待复核
水雷屯,庚戊,子寅辰申戌子,《增删卜易》纳甲歌规则推算·待复核
水火既济,己戊,卯丑亥申戌子,《增删卜易》纳甲歌规则推算·待复核
泽火革,己丁,卯丑亥亥酉未,《增删卜易》纳甲歌规则推算·待复核
雷火丰,己庚,卯丑亥午申戌,《增删卜易》纳甲歌规则推算·待复核
地火明夷,己癸,卯丑亥丑亥酉,《增删卜易》纳甲歌规则推算·待复核
地水师,戊癸,寅辰午丑亥酉,《增删卜易》纳甲歌规则推算·待复核
艮为山,丙丙,辰午申戌子寅,《增删卜易》纳甲歌规则推算·待复核
山火贲,己丙,卯丑亥戌子寅,《增删卜易》纳甲歌规则推算·待复核
山天大畜,甲丙,子寅辰戌子寅,《增删卜易》纳甲歌规则推算·待复核
山泽损,丁丙,巳卯丑戌子寅,《增删卜易》纳甲歌规则推算·待复核
火泽睽,丁己,巳卯丑酉未巳,《增删卜易》纳甲歌规则推算·待复核
天泽履,丁壬,巳卯丑午申戌,《增删卜易》纳甲歌规则推算·待复核
风泽中孚,丁辛,巳卯丑未巳卯,《增删卜易》纳甲歌规则推算·待复核
风山渐,丙辛,辰午申未巳卯,《增删卜易》纳甲歌规则推算·待复核
坤为地,乙癸,未巳卯丑亥酉,《增删卜易》纳甲歌规则推算·待复核
地雷复,庚癸,子寅辰丑亥酉,《增删卜易》纳甲歌规则推算·待复核
地泽临,丁癸,巳卯丑丑亥酉,《增删卜易》纳甲歌规则推算·待复核
地天泰,甲癸,子寅辰丑亥酉,《增删卜易》纳甲歌规则推算·待复核
雷天大壮,甲庚,子寅辰午申戌,《增删卜易》纳甲歌规则推算·待复核
泽天夬,甲丁,子寅辰亥酉未,《增删卜易》纳甲歌规则推算·待复核
水天需,甲戊,子寅辰申戌子,《增删卜易》纳甲歌规则推算·待复核
水地比,乙戊,未巳卯申戌子,《增删卜易》纳甲歌规则推算·待复核
