id,ganzhi_pair,wuxing_name,source_ref
1,甲子乙丑,海中金,《渊海子平》纳音表·待复核
2,丙寅丁卯,炉中火,《渊海子平》纳音表·待复核
3,戊辰己巳,大林木,《渊海子平》纳音表·待复核
4,庚午辛未,路旁土,《渊海子平》纳音表·待复核
5,壬申癸酉,剑锋金,《渊海子平》纳音表·待复核
6,甲戌乙亥,山头火,《渊海子平》纳音表·待复核
7,丙子丁丑,涧下水,《渊海子平》纳音表·待复核
8,戊寅己卯,城头土,《渊海子平》纳音表·待复核
9,庚辰辛巳,白蜡金,《渊海子平》纳音表·待复核
10,壬午癸未,杨柳木,《渊海子平》纳音表·待复核
11,甲申乙酉,泉中水,《渊海子平》纳音表·待复核
12,丙戌丁亥,屋上土,《渊海子平》纳音表·待复核
13,戊子己丑,霹雳火,《渊海子平》纳音表·待复核
14,庚寅辛卯,松柏木,《渊海子平》纳音表·待复核
15,壬辰癸巳,长流水,《渊海子平》纳音表·待复核
16,甲午乙未,沙中金,《渊海子平》纳音表·待复核
17,丙申丁酉,山下火,《渊海子平》纳音表·待复核
18,戊戌己亥,平地木,《渊海子平》纳音表·待复核
19,庚子辛丑,壁上土,《渊海子平》纳音表·待复核
20,壬寅癸卯,金箔金,《渊海子平》纳音表·待复核
21,甲辰乙巳,覆灯火,《渊海子平》纳音表·待复核
22,丙午丁未,天河水,《渊海子平》纳音表·待复核
23,戊申己酉,大驿土,《渊海子平》纳音表·待复核
24,庚戌辛亥,钗钏金,《渊海子平》纳音表·待复核
25,壬子癸丑,桑柘木,《渊海子平》纳音表·待复核
26,甲寅乙卯,大溪水,《渊海子平》纳音表·待复核
27,丙辰丁巳,沙中土,《渊海子平》纳音表·待复核
28,戊午己未,天上火,《渊海子平》纳音表·待复核
29,庚申辛酉,石榴木,《渊海子平》纳音表·待复核
30,壬戌癸亥,大海水,《渊海子平》纳音表·待复核
