year,month,is_ruen,shuo_time,wang_time,lunar_year,status,source_ref,notes
1948,12,0,1948-01-11T15:44+08:00,1948-01-26T15:11+08:00,丁亥,confirmed,hko+lunar,
1948,1,0,1948-02-10T11:01+08:00,1948-02-25T01:15+08:00,戊子,confirmed,hko+lunar,
1948,2,0,1948-03-11T05:14+08:00,1948-03-25T11:09+08:00,戊子,confirmed,hko+lunar,
1948,3,0,1948-04-09T21:16+08:00,1948-04-23T21:28+08:00,戊子,confirmed,hko+lunar,
1948,4,0,1948-05-09T10:29+08:00,1948-05-23T08:36+08:00,戊子,confirmed,hko+lunar,
1948,5,0,1948-06-07T20:55+08:00,1948-06-21T20:53+08:00,戊子,confirmed,hko+lunar,
1948,6,0,1948-07-07T05:08+08:00,1948-07-21T10:30+08:00,戊子,confirmed,hko+lunar,
1948,7,0,1948-08-05T12:12+08:00,1948-08-20T01:31+08:00,戊子,confirmed,hko+lunar,
1948,8,0,1948-09-03T19:20+08:00,1948-09-18T17:42+08:00,戊子,confirmed,hko+lunar,
1948,9,0,1948-10-03T03:41+08:00,1948-10-18T10:23+08:00,戊子,confirmed,hko+lunar,
1948,10,0,1948-11-01T14:02+08:00,1948-11-17T02:31+08:00,戊子,confirmed,hko+lunar,
1948,11,0,1948-12-01T02:44+08:00,1948-12-16T17:10+08:00,戊子,confirmed,hko+lunar,
1948,12,0,1948-12-30T17:44+08:00,1949-01-15T05:59+08:00,戊子,confirmed,hko+lunar,
1949,1,0,1949-01-29T10:41+08:00,1949-02-13T17:08+08:00,己丑,confirmed,hko+lunar,
1949,2,0,1949-02-28T04:54+08:00,1949-03-15T03:02+08:00,己丑,confirmed,hko+lunar,
1949,3,0,1949-03-29T23:10+08:00,1949-04-13T12:08+08:00,己丑,confirmed,hko+lunar,
1949,4,0,1949-04-28T16:01+08:00,1949-05-12T20:50+08:00,己丑,confirmed,hko+lunar,
1949,5,0,1949-05-28T06:23+08:00,1949-06-11T05:45+08:00,己丑,confirmed,hko+lunar,
1949,6,0,1949-06-26T18:01+08:00,1949-07-10T15:40+08:00,己丑,confirmed,hko+lunar,
1949,7,0,1949-07-26T03:32+08:00,1949-08-09T03:33+08:00,己丑,confirmed,hko+lunar,
1949,7,1,1949-08-24T11:58+08:00,1949-09-07T17:59+08:00,己丑,confirmed,hko+lunar,闰七月
1949,8,0,1949-09-22T20:20+08:00,1949-10-07T10:52+08:00,己丑,confirmed,hko+lunar,
1949,9,0,1949-10-22T05:22+08:00,1949-11-06T05:08+08:00,己丑,confirmed,hko+lunar,
1949,10,0,1949-11-20T15:28+08:00,1949-12-05T23:13+08:00,己丑,confirmed,hko+lunar,
1949,11,0,1949-12-20T02:55+08:00,1950-01-04T15:47+08:00,己丑,confirmed,hko+lunar,
1950,12,0,1950-01-18T15:59+08:00,1950-02-03T06:15+08:00,己丑,confirmed,hko+lunar,
1950,1,0,1950-02-17T06:52+08:00,1950-03-04T18:33+08:00,庚寅,confirmed,hko+lunar,
1950,2,0,1950-03-18T23:19+08:00,1950-04-03T04:48+08:00,庚寅,confirmed,hko+lunar,
1950,3,0,1950-04-17T16:25+08:00,1950-05-02T13:19+08:00,庚寅,confirmed,hko+lunar,
1950,4,0,1950-05-17T08:54+08:00,1950-05-31T20:42+08:00,庚寅,confirmed,hko+lunar,
1950,5,0,1950-06-15T23:52+08:00,1950-06-30T03:57+08:00,庚寅,confirmed,hko+lunar,
1950,6,0,1950-07-15T13:05+08:00,1950-07-29T12:17+08:00,庚寅,confirmed,hko+lunar,
1950,7,0,1950-08-14T00:48+08:00,1950-08-27T22:50+08:00,庚寅,confirmed,hko+lunar,
1950,8,0,1950-09-12T11:28+08:00,1950-09-26T12:21+08:00,庚寅,confirmed,hko+lunar,
1950,9,0,1950-10-11T21:33+08:00,1950-10-26T04:46+08:00,庚寅,confirmed,hko+lunar,
1950,10,0,1950-11-10T07:25+08:00,1950-11-24T23:13+08:00,庚寅,confirmed,hko+lunar,
1950,11,0,1950-12-09T17:28+08:00,1950-12-24T18:22+08:00,庚寅,confirmed,hko+lunar,
1951,12,0,1951-01-08T04:09+08:00,1951-01-23T12:46+08:00,庚寅,confirmed,hko+lunar,
1951,1,0,1951-02-06T15:53+08:00,1951-02-22T05:11+08:00,辛卯,confirmed,hko+lunar,
1951,2,0,1951-03-08T04:50+08:00,1951-03-23T18:49+08:00,辛卯,confirmed,hko+lunar,
1951,3,0,1951-04-06T18:51+08:00,1951-04-22T05:29+08:00,辛卯,confirmed,hko+lunar,
1951,4,0,1951-05-06T09:35+08:00,1951-05-21T13:44+08:00,辛卯,confirmed,hko+lunar,
1951,5,0,1951-06-05T00:40+08:00,1951-06-19T20:35+08:00,辛卯,confirmed,hko+lunar,
1951,6,0,1951-07-04T15:47+08:00,1951-07-19T03:17+08:00,辛卯,confirmed,hko+lunar,
1951,7,0,1951-08-03T06:38+08:00,1951-08-17T10:59+08:00,辛卯,confirmed,hko+lunar,
1951,8,0,1951-09-01T20:49+08:00,1951-09-15T20:38+08:00,辛卯,confirmed,hko+lunar,
1951,9,0,1951-10-01T09:56+08:00,1951-10-15T08:50+08:00,辛卯,confirmed,hko+lunar,
1951,10,0,1951-10-30T21:54+08:00,1951-11-13T23:51+08:00,辛卯,confirmed,hko+lunar,
1951,11,0,1951-11-29T09:00+08:00,1951-12-13T17:30+08:00,辛卯,confirmed,hko+lunar,
1951,12,0,1951-12-28T19:43+08:00,1952-01-12T12:54+08:00,辛卯,confirmed,hko+lunar,
1952,1,0,1952-01-27T06:26+08:00,1952-02-11T08:27+08:00,壬辰,confirmed,hko+lunar,
1952,2,0,1952-02-25T17:15+08:00,1952-03-12T02:13+08:00,壬辰,confirmed,hko+lunar,
1952,3,0,1952-03-26T04:12+08:00,1952-04-10T16:52+08:00,壬辰,confirmed,hko+lunar,
1952,4,0,1952-04-24T15:27+08:00,1952-05-10T04:15+08:00,壬辰,confirmed,hko+lunar,
1952,5,0,1952-05-24T03:27+08:00,1952-06-08T13:06+08:00,壬辰,confirmed,hko+lunar,
1952,5,1,1952-06-22T16:44+08:00,1952-07-07T20:33+08:00,壬辰,confirmed,hko+lunar,闰五月
1952,6,0,1952-07-22T07:30+08:00,1952-08-06T03:39+08:00,壬辰,confirmed,hko+lunar,
1952,7,0,1952-08-20T23:20+08:00,1952-09-04T11:19+08:00,壬辰,confirmed,hko+lunar,
1952,8,0,1952-09-19T15:21+08:00,1952-10-03T20:14+08:00,壬辰,confirmed,hko+lunar,
1952,9,0,1952-10-19T06:42+08:00,1952-11-02T07:09+08:00,壬辰,confirmed,hko+lunar,
1952,10,0,1952-11-17T20:55+08:00,1952-12-01T20:41+08:00,壬辰,confirmed,hko+lunar,
1952,11,0,1952-12-17T10:02+08:00,1952-12-31T13:05+08:00,壬辰,confirmed,hko+lunar,
1953,12,0,1953-01-15T22:08+08:00,1953-01-30T07:43+08:00,壬辰,confirmed,hko+lunar,
1953,1,0,1953-02-14T09:10+08:00,1953-03-01T02:58+08:00,癸巳,confirmed,hko+lunar,
1953,2,0,1953-03-15T19:04+08:00,1953-03-30T20:54+08:00,癸巳,confirmed,hko+lunar,
1953,3,0,1953-04-14T04:08+08:00,1953-04-29T12:20+08:00,癸巳,confirmed,hko+lunar,
1953,4,0,1953-05-13T13:05+08:00,1953-05-29T01:02+08:00,癸巳,confirmed,hko+lunar,
1953,5,0,1953-06-11T22:54+08:00,1953-06-27T11:29+08:00,癸巳,confirmed,hko+lunar,
1953,6,0,1953-07-11T10:27+08:00,1953-07-26T20:20+08:00,癸巳,confirmed,hko+lunar,
1953,7,0,1953-08-10T00:09+08:00,1953-08-25T04:20+08:00,癸巳,confirmed,hko+lunar,
1953,8,0,1953-09-08T15:47+08:00,1953-09-23T12:15+08:00,癸巳,confirmed,hko+lunar,
1953,9,0,1953-10-08T08:40+08:00,1953-10-22T20:55+08:00,癸巳,confirmed,hko+lunar,
1953,10,0,1953-11-07T01:57+08:00,1953-11-21T07:11+08:00,癸巳,confirmed,hko+lunar,
1953,11,0,1953-12-06T18:47+08:00,1953-12-20T19:43+08:00,癸巳,confirmed,hko+lunar,
1954,12,0,1954-01-05T10:21+08:00,1954-01-19T10:36+08:00,癸巳,confirmed,hko+lunar,
1954,1,0,1954-02-03T23:55+08:00,1954-02-18T03:17+08:00,甲午,confirmed,hko+lunar,
1954,2,0,1954-03-05T11:11+08:00,1954-03-19T20:42+08:00,甲午,confirmed,hko+lunar,
1954,3,0,1954-04-03T20:24+08:00,1954-04-18T13:48+08:00,甲午,confirmed,hko+lunar,
1954,4,0,1954-05-03T04:22+08:00,1954-05-18T05:46+08:00,甲午,confirmed,hko+lunar,
1954,5,0,1954-06-01T12:02+08:00,1954-06-16T20:05+08:00,甲午,confirmed,hko+lunar,
1954,6,0,1954-06-30T20:25+08:00,1954-07-16T08:28+08:00,甲午,confirmed,hko+lunar,
1954,7,0,1954-07-30T06:19+08:00,1954-08-14T19:02+08:00,甲午,confirmed,hko+lunar,
1954,8,0,1954-08-28T18:20+08:00,1954-09-13T04:19+08:00,甲午,confirmed,hko+lunar,
1954,9,0,1954-09-27T08:50+08:00,1954-10-12T13:09+08:00,甲午,confirmed,hko+lunar,
1954,10,0,1954-10-27T01:46+08:00,1954-11-10T22:28+08:00,甲午,confirmed,hko+lunar,
