year,month,is_ruen,date
1948,12,0,1948-01-11
1948,1,0,1948-02-10
1948,2,0,1948-03-11
1948,3,0,1948-04-09
1948,4,0,1948-05-09
1948,5,0,1948-06-07
1948,6,0,1948-07-07
1948,7,0,1948-08-05
1948,8,0,1948-09-03
1948,9,0,1948-10-03
1948,10,0,1948-11-01
1948,11,0,1948-12-01
1948,12,0,1948-12-30
1949,1,0,1949-01-29
1949,2,0,1949-02-28
1949,3,0,1949-03-29
1949,4,0,1949-04-28
1949,5,0,1949-05-28
1949,6,0,1949-06-26
1949,7,0,1949-07-26
1949,7,1,1949-08-24
1949,8,0,1949-09-22
1949,9,0,1949-10-22
1949,10,0,1949-11-20
1949,11,0,1949-12-20
1950,12,0,1950-01-18
1950,1,0,1950-02-17
1950,2,0,1950-03-18
1950,3,0,1950-04-17
1950,4,0,1950-05-17
1950,5,0,1950-06-15
1950,6,0,1950-07-15
1950,7,0,1950-08-14
1950,8,0,1950-09-12
1950,9,0,1950-10-11
1950,10,0,1950-11-10
1950,11,0,1950-12-09
1951,12,0,1951-01-08
1951,1,0,1951-02-06
1951,2,0,1951-03-08
1951,3,0,1951-04-06
1951,4,0,1951-05-06
1951,5,0,1951-06-05
1951,6,0,1951-07-04
1951,7,0,1951-08-03
1951,8,0,1951-09-01
1951,9,0,1951-10-01
1951,10,0,1951-10-30
1951,11,0,1951-11-29
1951,12,0,1951-12-28
1952,1,0,1952-01-27
1952,2,0,1952-02-25
1952,3,0,1952-03-26
1952,4,0,1952-04-24
1952,5,0,1952-05-24
1952,5,1,1952-06-22
1952,6,0,1952-07-22
1952,7,0,1952-08-20
1952,8,0,1952-09-19
1952,9,0,1952-10-19
1952,10,0,1952-11-17
1952,11,0,1952-12-17
1953,12,0,1953-01-15
1953,1,0,1953-02-14
1953,2,0,1953-03-15
1953,3,0,1953-04-14
1953,4,0,1953-05-13
1953,5,0,1953-06-11
1953,6,0,1953-07-11
1953,7,0,1953-08-10
1953,8,0,1953-09-08
1953,9,0,1953-10-08
1953,10,0,1953-11-07
1953,11,0,1953-12-06
1954,12,0,1954-01-05
1954,1,0,1954-02-03
1954,2,0,1954-03-05
1954,3,0,1954-04-03
1954,4,0,1954-05-03
1954,5,0,1954-06-01
1954,6,0,1954-06-30
1954,7,0,1954-07-30
1954,8,0,1954-08-28
1954,9,0,1954-09-27
1954,10,0,1954-10-27
1954,11,0,1954-11-25
1954,12,0,1954-12-25
1955,1,0,1955-01-24
1955,2,0,1955-02-22
1955,3,0,1955-03-24
1955,3,1,1955-04-22
1955,4,0,1955-05-22
1955,5,0,1955-06-20
