year,month,is_ruen,date
1950,12,0,1950-01-18
1950,1,0,1950-02-17
1950,2,0,1950-03-18
1950,3,0,1950-04-17
1950,4,0,1950-05-17
1950,5,0,1950-06-15
1950,6,0,1950-07-15
1950,7,0,1950-08-14
1950,8,0,1950-09-12
1950,9,0,1950-10-11
1950,10,0,1950-11-10
1950,11,0,1950-12-09
1976,12,0,1976-01-01
1976,1,0,1976-01-31
1976,2,0,1976-03-01
1976,3,0,1976-03-31
1976,4,0,1976-04-29
1976,5,0,1976-05-29
1976,6,0,1976-06-27
1976,7,0,1976-07-27
1976,8,0,1976-08-25
1976,8,1,1976-09-24
1976,9,0,1976-10-23
1976,10,0,1976-11-21
1976,11,0,1976-12-21
2000,12,0,2000-01-07
2000,1,0,2000-02-05
2000,2,0,2000-03-06
2000,3,0,2000-04-05
2000,4,0,2000-05-04
2000,5,0,2000-06-02
2000,6,0,2000-07-02
2000,7,0,2000-07-31
2000,8,0,2000-08-29
2000,9,0,2000-09-28
2000,10,0,2000-10-27
2000,11,0,2000-11-26
2000,12,0,2000-12-26
2024,12,0,2024-01-11
2024,1,0,2024-02-10
2024,2,0,2024-03-10
2024,3,0,2024-04-09
2024,4,0,2024-05-08
2024,5,0,2024-06-06
2024,6,0,2024-07-06
2024,7,0,2024-08-04
2024,8,0,2024-09-03
2024,9,0,2024-10-03
2024,10,0,2024-11-01
2024,11,0,2024-12-01
2024,12,0,2024-12-31
2088,1,0,2088-01-24
2088,2,0,2088-02-22
2088,3,0,2088-03-23
2088,4,0,2088-04-21
2088,4,1,2088-05-21
2088,5,0,2088-06-19
2088,6,0,2088-07-18
2088,7,0,2088-08-17
2088,8,0,2088-09-15
2088,9,0,2088-10-14
2088,10,0,2088-11-13
2088,11,0,2088-12-13
