year,term,jie_zhong,datetime,source_ref,notes
1948,小寒,节,1948-01-06 18:00,lunar,
1948,大寒,中气,1948-01-21 11:18,lunar,
1948,立春,节,1948-02-05 05:42,lunar,
1948,雨水,中气,1948-02-20 01:37,lunar,
1948,惊蛰,节,1948-03-05 23:58,lunar,
1948,春分,中气,1948-03-21 00:57,lunar,
1948,清明,节,1948-04-05 05:09,lunar,
1948,谷雨,中气,1948-04-20 12:25,lunar,
1948,立夏,节,1948-05-05 22:52,lunar,
1948,小满,中气,1948-05-21 11:58,lunar,
1948,芒种,节,1948-06-06 03:20,lunar,
1948,夏至,中气,1948-06-21 20:11,lunar,
1948,小暑,节,1948-07-07 13:43,lunar,
1948,大暑,中气,1948-07-23 07:07,lunar,
1948,立秋,节,1948-08-07 23:26,lunar,
1948,处暑,中气,1948-08-23 14:03,lunar,
1948,白露,节,1948-09-08 02:05,lunar,
1948,秋分,中气,1948-09-23 11:22,lunar,
1948,寒露,节,1948-10-08 17:20,lunar,
1948,霜降,中气,1948-10-23 20:18,lunar,
1948,立冬,节,1948-11-07 20:07,lunar,
1948,小雪,中气,1948-11-22 17:29,lunar,
1948,大雪,节,1948-12-07 12:38,lunar,
1948,冬至,中气,1948-12-22 06:33,lunar,
1949,小寒,节,1949-01-05 23:41,lunar,
1949,大寒,中气,1949-01-20 17:09,lunar,
1949,立春,节,1949-02-04 11:23,lunar,
1949,雨水,中气,1949-02-19 07:27,lunar,
1949,惊蛰,节,1949-03-06 05:39,lunar,
1949,春分,中气,1949-03-21 06:48,lunar,
1949,清明,节,1949-04-05 10:52,lunar,
1949,谷雨,中气,1949-04-20 18:17,lunar,
1949,立夏,节,1949-05-06 04:37,lunar,
1949,小满,中气,1949-05-21 17:51,lunar,
1949,芒种,节,1949-06-06 09:07,lunar,
1949,夏至,中气,1949-06-22 02:03,lunar,
1949,小暑,节,1949-07-07 19:32,lunar,
1949,大暑,中气,1949-07-23 12:57,lunar,
1949,立秋,节,1949-08-08 05:15,lunar,
1949,处暑,中气,1949-08-23 19:48,lunar,
1949,白露,节,1949-09-08 07:54,lunar,
1949,秋分,中气,1949-09-23 17:06,lunar,
1949,寒露,节,1949-10-08 23:11,lunar,
1949,霜降,中气,1949-10-24 02:03,lunar,
1949,立冬,节,1949-11-08 02:00,lunar,
1949,小雪,中气,1949-11-22 23:16,lunar,
1949,大雪,节,1949-12-07 18:33,lunar,
1949,冬至,中气,1949-12-22 12:23,lunar,
1950,小寒,节,1950-01-06 05:39,lunar,
1950,大寒,中气,1950-01-20 23:00,lunar,
1950,立春,节,1950-02-04 17:21,lunar,
1950,雨水,中气,1950-02-19 13:17,lunar,
1950,惊蛰,节,1950-03-06 11:35,lunar,
1950,春分,中气,1950-03-21 12:35,lunar,
1950,清明,节,1950-04-05 16:44,lunar,
1950,谷雨,中气,1950-04-20 23:59,lunar,
1950,立夏,节,1950-05-06 10:25,lunar,
1950,小满,中气,1950-05-21 23:27,lunar,
1950,芒种,节,1950-06-06 14:51,lunar,
1950,夏至,中气,1950-06-22 07:36,lunar,
1950,小暑,节,1950-07-08 01:13,lunar,
1950,大暑,中气,1950-07-23 18:30,lunar,
1950,立秋,节,1950-08-08 10:55,lunar,
1950,处暑,中气,1950-08-24 01:23,lunar,
1950,白露,节,1950-09-08 13:34,lunar,
1950,秋分,中气,1950-09-23 22:44,lunar,
1950,寒露,节,1950-10-09 04:52,lunar,
1950,霜降,中气,1950-10-24 07:45,lunar,
1950,立冬,节,1950-11-08 07:44,lunar,
1950,小雪,中气,1950-11-23 05:02,lunar,
1950,大雪,节,1950-12-08 00:22,lunar,
1950,冬至,中气,1950-12-22 18:13,lunar,
1951,小寒,节,1951-01-06 11:30,lunar,
1951,大寒,中气,1951-01-21 04:52,lunar,
1951,立春,节,1951-02-04 23:13,lunar,
1951,雨水,中气,1951-02-19 19:10,lunar,
1951,惊蛰,节,1951-03-06 17:27,lunar,
1951,春分,中气,1951-03-21 18:26,lunar,
1951,清明,节,1951-04-05 22:33,lunar,
1951,谷雨,中气,1951-04-21 05:48,lunar,
1951,立夏,节,1951-05-06 16:09,lunar,
1951,小满,中气,1951-05-22 05:15,lunar,
1951,芒种,节,1951-06-06 20:33,lunar,
1951,夏至,中气,1951-06-22 13:25,lunar,
1951,小暑,节,1951-07-08 06:54,lunar,
1951,大暑,中气,1951-07-24 00:21,lunar,
1951,立秋,节,1951-08-08 16:37,lunar,
1951,处暑,中气,1951-08-24 07:16,lunar,
1951,白露,节,1951-09-08 19:18,lunar,
1951,秋分,中气,1951-09-24 04:37,lunar,
1951,寒露,节,1951-10-09 10:36,lunar,
1951,霜降,中气,1951-10-24 13:36,lunar,
1951,立冬,节,1951-11-08 13:27,lunar,
1951,小雪,中气,1951-11-23 10:51,lunar,
1951,大雪,节,1951-12-08 06:02,lunar,
1951,冬至,中气,1951-12-23 00:00,lunar,
1952,小寒,节,1952-01-06 17:10,lunar,
1952,大寒,中气,1952-01-21 10:38,lunar,
1952,立春,节,1952-02-05 04:53,lunar,
1952,雨水,中气,1952-02-20 00:57,lunar,
1952,惊蛰,节,1952-03-05 23:07,lunar,
1952,春分,中气,1952-03-21 00:14,lunar,
1952,清明,节,1952-04-05 04:15,lunar,
1952,谷雨,中气,1952-04-20 11:37,lunar,
1952,立夏,节,1952-05-05 21:54,lunar,
1952,小满,中气,1952-05-21 11:04,lunar,
1952,芒种,节,1952-06-06 02:20,lunar,
1952,夏至,中气,1952-06-21 19:13,lunar,
1952,小暑,节,1952-07-07 12:45,lunar,
1952,大暑,中气,1952-07-23 06:07,lunar,
1952,立秋,节,1952-08-07 22:31,lunar,
1952,处暑,中气,1952-08-23 13:03,lunar,
1952,白露,节,1952-09-08 01:14,lunar,
1952,秋分,中气,1952-09-23 10:24,lunar,
1952,寒露,节,1952-10-08 16:32,lunar,
1952,霜降,中气,1952-10-23 19:22,lunar,
1952,立冬,节,1952-11-07 19:22,lunar,
1952,小雪,中气,1952-11-22 16:36,lunar,
1952,大雪,节,1952-12-07 11:56,lunar,
1952,冬至,中气,1952-12-22 05:43,lunar,
1953,小寒,节,1953-01-05 23:02,lunar,
1953,大寒,中气,1953-01-20 16:21,lunar,
1953,立春,节,1953-02-04 10:46,lunar,
1953,雨水,中气,1953-02-19 06:41,lunar,
1953,惊蛰,节,1953-03-06 05:02,lunar,
1953,春分,中气,1953-03-21 06:01,lunar,
1953,清明,节,1953-04-05 10:13,lunar,
1953,谷雨,中气,1953-04-20 17:25,lunar,
1953,立夏,节,1953-05-06 03:52,lunar,
1953,小满,中气,1953-05-21 16:53,lunar,
1953,芒种,节,1953-06-06 08:16,lunar,
1953,夏至,中气,1953-06-22 01:00,lunar,
1953,小暑,节,1953-07-07 18:35,lunar,
1953,大暑,中气,1953-07-23 11:52,lunar,
1953,立秋,节,1953-08-08 04:15,lunar,
1953,处暑,中气,1953-08-23 18:45,lunar,
1953,白露,节,1953-09-08 06:53,lunar,
1953,秋分,中气,1953-09-23 16:06,lunar,
1953,寒露,节,1953-10-08 22:10,lunar,
1953,霜降,中气,1953-10-24 01:06,lunar,
1953,立冬,节,1953-11-08 01:01,lunar,
1953,小雪,中气,1953-11-22 22:22,lunar,
1953,大雪,节,1953-12-07 17:37,lunar,
1953,冬至,中气,1953-12-22 11:31,lunar,
1954,小寒,节,1954-01-06 04:45,lunar,
1954,大寒,中气,1954-01-20 22:11,lunar,
1954,立春,节,1954-02-04 16:31,lunar,
1954,雨水,中气,1954-02-19 12:32,lunar,
1954,惊蛰,节,1954-03-06 10:49,lunar,
1954,春分,中气,1954-03-21 11:53,lunar,
1954,清明,节,1954-04-05 15:59,lunar,
1954,谷雨,中气,1954-04-20 23:20,lunar,
1954,立夏,节,1954-05-06 09:38,lunar,
1954,小满,中气,1954-05-21 22:47,lunar,
1954,芒种,节,1954-06-06 14:01,lunar,
1954,夏至,中气,1954-06-22 06:54,lunar,
1954,小暑,节,1954-07-08 00:19,lunar,
1954,大暑,中气,1954-07-23 17:45,lunar,
1954,立秋,节,1954-08-08 09:59,lunar,
1954,处暑,中气,1954-08-24 00:36,lunar,
1954,白露,节,1954-09-08 12:38,lunar,
1954,秋分,中气,1954-09-23 21:55,lunar,
1954,寒露,节,1954-10-09 03:57,lunar,
1954,霜降,中气,1954-10-24 06:56,lunar,
1954,立冬,节,1954-11-08 06:51,lunar,
1954,小雪,中气,1954-11-23 04:14,lunar,
1954,大雪,节,1954-12-07 23:28,lunar,
1954,冬至,中气,1954-12-22 17:24,lunar,
1955,小寒,节,1955-01-06 10:36,lunar,
1955,大寒,中气,1955-01-21 04:02,lunar,
1955,立春,节,1955-02-04 22:18,lunar,
1955,雨水,中气,1955-02-19 18:19,lunar,
1955,惊蛰,节,1955-03-06 16:31,lunar,
1955,春分,中气,1955-03-21 17:35,lunar,
1955,清明,节,1955-04-05 21:39,lunar,
1955,谷雨,中气,1955-04-21 04:58,lunar,
1955,立夏,节,1955-05-06 15:18,lunar,
1955,小满,中气,1955-05-22 04:24,lunar,
1955,芒种,节,1955-06-06 19:43,lunar,
1955,夏至,中气,1955-06-22 12:31,lunar,
1955,小暑,节,1955-07-08 06:06,lunar,
1955,大暑,中气,1955-07-23 23:25,lunar,
1955,立秋,节,1955-08-08 15:50,lunar,
1955,处暑,中气,1955-08-24 06:19,lunar,
1955,白露,节,1955-09-08 18:32,lunar,
1955,秋分,中气,1955-09-24 03:41,lunar,
1955,寒露,节,1955-10-09 09:52,lunar,
1955,霜降,中气,1955-10-24 12:43,lunar,
1955,立冬,节,1955-11-08 12:45,lunar,
1955,小雪,中气,1955-11-23 10:01,lunar,
1955,大雪,节,1955-12-08 05:23,lunar,
1955,冬至,中气,1955-12-22 23:11,lunar,
1956,小寒,节,1956-01-06 16:30,lunar,
1956,大寒,中气,1956-01-21 09:48,lunar,
1956,立春,节,1956-02-05 04:12,lunar,
1956,雨水,中气,1956-02-20 00:05,lunar,
1956,惊蛰,节,1956-03-05 22:24,lunar,
1956,春分,中气,1956-03-20 23:20,lunar,
1956,清明,节,1956-04-05 03:31,lunar,
1956,谷雨,中气,1956-04-20 10:43,lunar,
1956,立夏,节,1956-05-05 21:10,lunar,
1956,小满,中气,1956-05-21 10:13,lunar,
1956,芒种,节,1956-06-06 01:36,lunar,
1956,夏至,中气,1956-06-21 18:24,lunar,
1956,小暑,节,1956-07-07 11:58,lunar,
1956,大暑,中气,1956-07-23 05:20,lunar,
1956,立秋,节,1956-08-07 21:40,lunar,
1956,处暑,中气,1956-08-23 12:15,lunar,
1956,白露,节,1956-09-08 00:19,lunar,
1956,秋分,中气,1956-09-23 09:35,lunar,
1956,寒露,节,1956-10-08 15:36,lunar,
1956,霜降,中气,1956-10-23 18:34,lunar,
1956,立冬,节,1956-11-07 18:26,lunar,
1956,小雪,中气,1956-11-22 15:50,lunar,
1956,大雪,节,1956-12-07 11:02,lunar,
1956,冬至,中气,1956-12-22 04:59,lunar,
1957,小寒,节,1957-01-05 22:10,lunar,
1957,大寒,中气,1957-01-20 15:39,lunar,
1957,立春,节,1957-02-04 09:55,lunar,
1957,雨水,中气,1957-02-19 05:58,lunar,
1957,惊蛰,节,1957-03-06 04:10,lunar,
1957,春分,中气,1957-03-21 05:16,lunar,
1957,清明,节,1957-04-05 09:19,lunar,
1957,谷雨,中气,1957-04-20 16:41,lunar,
1957,立夏,节,1957-05-06 02:58,lunar,
1957,小满,中气,1957-05-21 16:10,lunar,
1957,芒种,节,1957-06-06 07:25,lunar,
1957,夏至,中气,1957-06-22 00:20,lunar,
1957,小暑,节,1957-07-07 17:48,lunar,
1957,大暑,中气,1957-07-23 11:15,lunar,
1957,立秋,节,1957-08-08 03:32,lunar,
1957,处暑,中气,1957-08-23 18:08,lunar,
1957,白露,节,1957-09-08 06:12,lunar,
1957,秋分,中气,1957-09-23 15:26,lunar,
1957,寒露,节,1957-10-08 21:30,lunar,
1957,霜降,中气,1957-10-24 00:24,lunar,
1957,立冬,节,1957-11-08 00:20,lunar,
1957,小雪,中气,1957-11-22 21:39,lunar,
1957,大雪,节,1957-12-07 16:56,lunar,
1957,冬至,中气,1957-12-22 10:49,lunar,
1958,小寒,节,1958-01-06 04:04,lunar,
1958,大寒,中气,1958-01-20 21:28,lunar,
1958,立春,节,1958-02-04 15:49,lunar,
1958,雨水,中气,1958-02-19 11:48,lunar,
1958,惊蛰,节,1958-03-06 10:05,lunar,
1958,春分,中气,1958-03-21 11:06,lunar,
1958,清明,节,1958-04-05 15:12,lunar,
1958,谷雨,中气,1958-04-20 22:27,lunar,
1958,立夏,节,1958-05-06 08:49,lunar,
1958,小满,中气,1958-05-21 21:51,lunar,
1958,芒种,节,1958-06-06 13:12,lunar,
1958,夏至,中气,1958-06-22 05:57,lunar,
1958,小暑,节,1958-07-07 23:33,lunar,
1958,大暑,中气,1958-07-23 16:50,lunar,
1958,立秋,节,1958-08-08 09:17,lunar,
1958,处暑,中气,1958-08-23 23:46,lunar,
1958,白露,节,1958-09-08 11:59,lunar,
1958,秋分,中气,1958-09-23 21:09,lunar,
1958,寒露,节,1958-10-09 03:19,lunar,
1958,霜降,中气,1958-10-24 06:11,lunar,
1958,立冬,节,1958-11-08 06:12,lunar,
1958,小雪,中气,1958-11-23 03:29,lunar,
1958,大雪,节,1958-12-07 22:50,lunar,
1958,冬至,中气,1958-12-22 16:40,lunar,
1959,小寒,节,1959-01-06 09:58,lunar,
1959,大寒,中气,1959-01-21 03:19,lunar,
1959,立春,节,1959-02-04 21:42,lunar,
1959,雨水,中气,1959-02-19 17:38,lunar,
1959,惊蛰,节,1959-03-06 15:57,lunar,
1959,春分,中气,1959-03-21 16:54,lunar,
1959,清明,节,1959-04-05 21:03,lunar,
1959,谷雨,中气,1959-04-21 04:16,lunar,
1959,立夏,节,1959-05-06 14:39,lunar,
1959,小满,中气,1959-05-22 03:42,lunar,
1959,芒种,节,1959-06-06 19:00,lunar,
1959,夏至,中气,1959-06-22 11:50,lunar,
1959,小暑,节,1959-07-08 05:20,lunar,
1959,大暑,中气,1959-07-23 22:45,lunar,
1959,立秋,节,1959-08-08 15:04,lunar,
1959,处暑,中气,1959-08-24 05:43,lunar,
1959,白露,节,1959-09-08 17:48,lunar,
1959,秋分,中气,1959-09-24 03:08,lunar,
1959,寒露,节,1959-10-09 09:10,lunar,
1959,霜降,中气,1959-10-24 12:11,lunar,
1959,立冬,节,1959-11-08 12:02,lunar,
1959,小雪,中气,1959-11-23 09:27,lunar,
1959,大雪,节,1959-12-08 04:37,lunar,
1959,冬至,中气,1959-12-22 22:34,lunar,
1960,小寒,节,1960-01-06 15:42,lunar,
1960,大寒,中气,1960-01-21 09:10,lunar,
1960,立春,节,1960-02-05 03:23,lunar,
1960,雨水,中气,1960-02-19 23:26,lunar,
1960,惊蛰,节,1960-03-05 21:36,lunar,
1960,春分,中气,1960-03-20 22:43,lunar,
1960,清明,节,1960-04-05 02:44,lunar,
1960,谷雨,中气,1960-04-20 10:06,lunar,
1960,立夏,节,1960-05-05 20:23,lunar,
1960,小满,中气,1960-05-21 09:33,lunar,
1960,芒种,节,1960-06-06 00:49,lunar,
1960,夏至,中气,1960-06-21 17:42,lunar,
1960,小暑,节,1960-07-07 11:13,lunar,
1960,大暑,中气,1960-07-23 04:37,lunar,
1960,立秋,节,1960-08-07 21:00,lunar,
1960,处暑,中气,1960-08-23 11:34,lunar,
1960,白露,节,1960-09-07 23:45,lunar,
1960,秋分,中气,1960-09-23 08:59,lunar,
1960,寒露,节,1960-10-08 15:09,lunar,
1960,霜降,中气,1960-10-23 18:02,lunar,
1960,立冬,节,1960-11-07 18:02,lunar,
1960,小雪,中气,1960-11-22 15:18,lunar,
1960,大雪,节,1960-12-07 10:38,lunar,
1960,冬至,中气,1960-12-22 04:26,lunar,
1961,小寒,节,1961-01-05 21:43,lunar,
1961,大寒,中气,1961-01-20 15:01,lunar,
1961,立春,节,1961-02-04 09:22,lunar,
1961,雨水,中气,1961-02-19 05:16,lunar,
1961,惊蛰,节,1961-03-06 03:35,lunar,
1961,春分,中气,1961-03-21 04:32,lunar,
1961,清明,节,1961-04-05 08:42,lunar,
1961,谷雨,中气,1961-04-20 15:55,lunar,
1961,立夏,节,1961-05-06 02:21,lunar,
1961,小满,中气,1961-05-21 15:22,lunar,
1961,芒种,节,1961-06-06 06:46,lunar,
1961,夏至,中气,1961-06-21 23:30,lunar,
1961,小暑,节,1961-07-07 17:07,lunar,
1961,大暑,中气,1961-07-23 10:24,lunar,
1961,立秋,节,1961-08-08 02:48,lunar,
1961,处暑,中气,1961-08-23 17:19,lunar,
1961,白露,节,1961-09-08 05:29,lunar,
1961,秋分,中气,1961-09-23 14:42,lunar,
1961,寒露,节,1961-10-08 20:51,lunar,
1961,霜降,中气,1961-10-23 23:47,lunar,
1961,立冬,节,1961-11-07 23:46,lunar,
1961,小雪,中气,1961-11-22 21:08,lunar,
1961,大雪,节,1961-12-07 16:26,lunar,
1961,冬至,中气,1961-12-22 10:19,lunar,
1962,小寒,节,1962-01-06 03:35,lunar,
1962,大寒,中气,1962-01-20 20:58,lunar,
1962,立春,节,1962-02-04 15:17,lunar,
1962,雨水,中气,1962-02-19 11:15,lunar,
1962,惊蛰,节,1962-03-06 09:29,lunar,
1962,春分,中气,1962-03-21 10:30,lunar,
1962,清明,节,1962-04-05 14:34,lunar,
1962,谷雨,中气,1962-04-20 21:51,lunar,
1962,立夏,节,1962-05-06 08:09,lunar,
1962,小满,中气,1962-05-21 21:17,lunar,
1962,芒种,节,1962-06-06 12:31,lunar,
1962,夏至,中气,1962-06-22 05:24,lunar,
1962,小暑,节,1962-07-07 22:51,lunar,
1962,大暑,中气,1962-07-23 16:18,lunar,
1962,立秋,节,1962-08-08 08:34,lunar,
1962,处暑,中气,1962-08-23 23:12,lunar,
1962,白露,节,1962-09-08 11:15,lunar,
1962,秋分,中气,1962-09-23 20:35,lunar,
1962,寒露,节,1962-10-09 02:38,lunar,
1962,霜降,中气,1962-10-24 05:40,lunar,
1962,立冬,节,1962-11-08 05:35,lunar,
1962,小雪,中气,1962-11-23 03:02,lunar,
1962,大雪,节,1962-12-07 22:17,lunar,
1962,冬至,中气,1962-12-22 16:15,lunar,
1963,小寒,节,1963-01-06 09:26,lunar,
1963,大寒,中气,1963-01-21 02:54,lunar,
1963,立春,节,1963-02-04 21:08,lunar,
1963,雨水,中气,1963-02-19 17:09,lunar,
1963,惊蛰,节,1963-03-06 15:17,lunar,
1963,春分,中气,1963-03-21 16:20,lunar,
1963,清明,节,1963-04-05 20:19,lunar,
1963,谷雨,中气,1963-04-21 03:36,lunar,
1963,立夏,节,1963-05-06 13:52,lunar,
1963,小满,中气,1963-05-22 02:58,lunar,
1963,芒种,节,1963-06-06 18:14,lunar,
1963,夏至,中气,1963-06-22 11:04,lunar,
1963,小暑,节,1963-07-08 04:38,lunar,
1963,大暑,中气,1963-07-23 21:59,lunar,
1963,立秋,节,1963-08-08 14:25,lunar,
1963,处暑,中气,1963-08-24 04:57,lunar,
1963,白露,节,1963-09-08 17:12,lunar,
1963,秋分,中气,1963-09-24 02:23,lunar,
1963,寒露,节,1963-10-09 08:36,lunar,
1963,霜降,中气,1963-10-24 11:29,lunar,
1963,立冬,节,1963-11-08 11:32,lunar,
1963,小雪,中气,1963-11-23 08:49,lunar,
1963,大雪,节,1963-12-08 04:13,lunar,
1963,冬至,中气,1963-12-22 22:02,lunar,
1964,小寒,节,1964-01-06 15:22,lunar,
1964,大寒,中气,1964-01-21 08:41,lunar,
1964,立春,节,1964-02-05 03:05,lunar,
1964,雨水,中气,1964-02-19 22:57,lunar,
1964,惊蛰,节,1964-03-05 21:16,lunar,
1964,春分,中气,1964-03-20 22:10,lunar,
1964,清明,节,1964-04-05 02:18,lunar,
1964,谷雨,中气,1964-04-20 09:27,lunar,
1964,立夏,节,1964-05-05 19:51,lunar,
1964,小满,中气,1964-05-21 08:50,lunar,
1964,芒种,节,1964-06-06 00:12,lunar,
1964,夏至,中气,1964-06-21 16:57,lunar,
1964,小暑,节,1964-07-07 10:32,lunar,
1964,大暑,中气,1964-07-23 03:53,lunar,
1964,立秋,节,1964-08-07 20:16,lunar,
1964,处暑,中气,1964-08-23 10:51,lunar,
1964,白露,节,1964-09-07 22:59,lunar,
1964,秋分,中气,1964-09-23 08:17,lunar,
1964,寒露,节,1964-10-08 14:22,lunar,
1964,霜降,中气,1964-10-23 17:21,lunar,
