year,term,month,day
1948,小寒,1,6
1948,大寒,1,21
1948,立春,2,5
1948,雨水,2,20
1948,惊蛰,3,5
1948,春分,3,21
1948,清明,4,5
1948,谷雨,4,20
1948,立夏,5,5
1948,小满,5,21
1948,芒种,6,6
1948,夏至,6,21
1948,小暑,7,7
1948,大暑,7,23
1948,立秋,8,7
1948,处暑,8,23
1948,白露,9,8
1948,秋分,9,23
1948,寒露,10,8
1948,霜降,10,23
1948,立冬,11,7
1948,小雪,11,22
1948,大雪,12,7
1948,冬至,12,22
1949,小寒,1,5
1949,大寒,1,20
1949,立春,2,4
1949,雨水,2,19
1949,惊蛰,3,6
1949,春分,3,21
1949,清明,4,5
1949,谷雨,4,20
1949,立夏,5,6
1949,小满,5,21
1949,芒种,6,6
1949,夏至,6,22
1949,小暑,7,7
1949,大暑,7,23
1949,立秋,8,8
1949,处暑,8,23
1949,白露,9,8
1949,秋分,9,23
1949,寒露,10,8
1949,霜降,10,24
1949,立冬,11,8
1949,小雪,11,22
1949,大雪,12,7
1949,冬至,12,22
1950,小寒,1,6
1950,大寒,1,20
1950,立春,2,4
1950,雨水,2,19
1950,惊蛰,3,6
1950,春分,3,21
1950,清明,4,5
1950,谷雨,4,20
1950,立夏,5,6
1950,小满,5,21
1950,芒种,6,6
1950,夏至,6,22
1950,小暑,7,8
1950,大暑,7,23
1950,立秋,8,8
1950,处暑,8,24
1950,白露,9,8
1950,秋分,9,23
1950,寒露,10,9
1950,霜降,10,24
1950,立冬,11,8
1950,小雪,11,23
1950,大雪,12,8
1950,冬至,12,22
1951,小寒,1,6
1951,大寒,1,21
1951,立春,2,4
1951,雨水,2,19
1951,惊蛰,3,6
1951,春分,3,21
1951,清明,4,5
1951,谷雨,4,21
1951,立夏,5,6
1951,小满,5,22
1951,芒种,6,6
1951,夏至,6,22
1951,小暑,7,8
1951,大暑,7,24
1951,立秋,8,8
1951,处暑,8,24
1951,白露,9,8
1951,秋分,9,24
1951,寒露,10,9
1951,霜降,10,24
1951,立冬,11,8
1951,小雪,11,23
1951,大雪,12,8
1951,冬至,12,23
1952,小寒,1,6
1952,大寒,1,21
1952,立春,2,5
1952,雨水,2,20
1952,惊蛰,3,5
1952,春分,3,21
1952,清明,4,5
1952,谷雨,4,20
1952,立夏,5,5
1952,小满,5,21
1952,芒种,6,6
1952,夏至,6,21
1952,小暑,7,7
1952,大暑,7,23
1952,立秋,8,7
1952,处暑,8,23
1952,白露,9,8
1952,秋分,9,23
1952,寒露,10,8
1952,霜降,10,23
1952,立冬,11,7
1952,小雪,11,22
1952,大雪,12,7
1952,冬至,12,22
1953,小寒,1,5
1953,大寒,1,20
1953,立春,2,4
1953,雨水,2,19
1953,惊蛰,3,6
1953,春分,3,21
1953,清明,4,5
1953,谷雨,4,20
1953,立夏,5,6
1953,小满,5,21
1953,芒种,6,6
1953,夏至,6,22
1953,小暑,7,7
1953,大暑,7,23
1953,立秋,8,8
1953,处暑,8,23
1953,白露,9,8
1953,秋分,9,23
1953,寒露,10,8
1953,霜降,10,24
1953,立冬,11,8
1953,小雪,11,22
1953,大雪,12,7
1953,冬至,12,22
1954,小寒,1,6
1954,大寒,1,20
1954,立春,2,4
1954,雨水,2,19
