year,term,datetime,format
2017,小寒,2017-01-05 11:56,xml
2017,大寒,2017-01-20 05:24,xml
2017,立春,2017-02-03 23:34,xml
2017,雨水,2017-02-18 19:31,xml
2017,惊蛰,2017-03-05 17:33,xml
2017,春分,2017-03-20 18:29,xml
2017,清明,2017-04-04 22:17,xml
2017,谷雨,2017-04-20 05:27,xml
2017,立夏,2017-05-05 15:31,xml
2017,小满,2017-05-21 04:31,xml
2017,芒种,2017-06-05 19:37,xml
2017,夏至,2017-06-21 12:24,xml
2017,小暑,2017-07-07 05:51,xml
2017,大暑,2017-07-22 23:15,xml
2017,立秋,2017-08-07 15:40,xml
2017,处暑,2017-08-23 06:20,xml
2017,白露,2017-09-07 18:39,xml
2017,秋分,2017-09-23 04:02,xml
2017,寒露,2017-10-08 10:22,xml
2017,霜降,2017-10-23 13:27,xml
2017,立冬,2017-11-07 13:38,xml
2017,小雪,2017-11-22 11:05,xml
2017,大雪,2017-12-07 06:33,xml
2017,冬至,2017-12-22 00:28,xml
2018,小寒,2018-01-05 17:49,xml
2018,大寒,2018-01-20 11:09,xml
2018,立春,2018-02-04 05:28,xml
2018,雨水,2018-02-19 01:18,xml
2018,惊蛰,2018-03-05 23:28,xml
2018,春分,2018-03-21 00:15,xml
2018,清明,2018-04-05 04:13,xml
2018,谷雨,2018-04-20 11:13,xml
2018,立夏,2018-05-05 21:25,xml
2018,小满,2018-05-21 10:15,xml
2018,芒种,2018-06-06 01:29,xml
2018,夏至,2018-06-21 18:07,xml
2018,小暑,2018-07-07 11:42,xml
2018,大暑,2018-07-23 05:00,xml
2018,立秋,2018-08-07 21:31,xml
2018,处暑,2018-08-23 12:09,xml
2018,白露,2018-09-08 00:30,xml
2018,秋分,2018-09-23 09:54,xml
2018,寒露,2018-10-08 16:15,xml
2018,霜降,2018-10-23 19:22,xml
2018,立冬,2018-11-07 19:32,xml
2018,小雪,2018-11-22 17:01,xml
2018,大雪,2018-12-07 12:26,xml
2018,冬至,2018-12-22 06:23,xml
2019,小寒,2019-01-05 23:39,xml
2019,大寒,2019-01-20 17:00,xml
2019,立春,2019-02-04 11:14,xml
2019,雨水,2019-02-19 07:04,xml
2019,惊蛰,2019-03-06 05:10,xml
2019,春分,2019-03-21 05:58,xml
2019,清明,2019-04-05 09:51,xml
2019,谷雨,2019-04-20 16:55,xml
2019,立夏,2019-05-06 03:03,xml
2019,小满,2019-05-21 15:59,xml
2019,芒种,2019-06-06 07:06,xml
2019,夏至,2019-06-21 23:54,xml
2019,小暑,2019-07-07 17:21,xml
2019,大暑,2019-07-23 10:50,xml
2019,立秋,2019-08-08 03:13,xml
2019,处暑,2019-08-23 18:02,xml
2019,白露,2019-09-08 06:17,xml
2019,秋分,2019-09-23 15:50,xml
2019,寒露,2019-10-08 22:06,xml
2019,霜降,2019-10-24 01:20,xml
2019,立冬,2019-11-08 01:24,xml
2019,小雪,2019-11-22 22:59,xml
2019,大雪,2019-12-07 18:18,xml
2019,冬至,2019-12-22 12:19,xml
2020,小寒,2020-01-06 05:30,xml
2020,大寒,2020-01-20 22:55,xml
2020,立春,2020-02-04 17:03,xml
2020,雨水,2020-02-19 12:57,xml
2020,惊蛰,2020-03-05 10:57,xml
2020,春分,2020-03-20 11:50,xml
2020,清明,2020-04-04 15:38,xml
2020,谷雨,2020-04-19 22:45,xml
2020,立夏,2020-05-05 08:51,xml
2020,小满,2020-05-20 21:49,xml
2020,芒种,2020-06-05 12:58,xml
2020,夏至,2020-06-21 05:44,xml
2020,小暑,2020-07-06 23:14,xml
2020,大暑,2020-07-22 16:37,xml
2020,立秋,2020-08-07 09:06,xml
2020,处暑,2020-08-22 23:45,xml
2020,白露,2020-09-07 12:08,xml
2020,秋分,2020-09-22 21:31,xml
