year,term,datetime,jie_zhong
1948,小寒,1948-01-06 18:00:13,jie
1948,大寒,1948-01-21 11:18:22,zhong
1948,立春,1948-02-05 05:42:00,jie
1948,雨水,1948-02-20 01:36:38,zhong
1948,惊蛰,1948-03-05 23:57:53,jie
1948,春分,1948-03-21 00:56:43,zhong
1948,清明,1948-04-05 05:09:20,jie
1948,谷雨,1948-04-20 12:24:50,zhong
1948,立夏,1948-05-05 22:52:13,jie
1948,小满,1948-05-21 11:57:35,zhong
1948,芒种,1948-06-06 03:20:19,jie
1948,夏至,1948-06-21 20:10:32,zhong
1948,小暑,1948-07-07 13:43:28,jie
1948,大暑,1948-07-23 07:07:29,zhong
1948,立秋,1948-08-07 23:26:17,jie
1948,处暑,1948-08-23 14:02:30,zhong
1948,白露,1948-09-08 02:04:59,jie
1948,秋分,1948-09-23 11:21:39,zhong
1948,寒露,1948-10-08 17:20:16,jie
1948,霜降,1948-10-23 20:17:57,zhong
1948,立冬,1948-11-07 20:06:32,jie
1948,小雪,1948-11-22 17:28:47,zhong
1948,大雪,1948-12-07 12:37:37,jie
1948,冬至,1948-12-22 06:33:13,zhong
1949,小寒,1949-01-05 23:41:08,jie
1949,大寒,1949-01-20 17:08:32,zhong
1949,立春,1949-02-04 11:22:49,jie
1949,雨水,1949-02-19 07:27:03,zhong
1949,惊蛰,1949-03-06 05:39:16,jie
1949,春分,1949-03-21 06:48:01,zhong
1949,清明,1949-04-05 10:51:56,jie
1949,谷雨,1949-04-20 18:17:15,zhong
1949,立夏,1949-05-06 04:36:34,jie
1949,小满,1949-05-21 17:50:38,zhong
1949,芒种,1949-06-06 09:06:49,jie
1949,夏至,1949-06-22 02:02:43,zhong
1949,小暑,1949-07-07 19:31:35,jie
1949,大暑,1949-07-23 12:56:39,zhong
1949,立秋,1949-08-08 05:14:56,jie
1949,处暑,1949-08-23 19:48:11,zhong
1949,白露,1949-09-08 07:54:09,jie
1949,秋分,1949-09-23 17:05:48,zhong
1949,寒露,1949-10-08 23:11:02,jie
1949,霜降,1949-10-24 02:02:57,zhong
1949,立冬,1949-11-08 01:59:46,jie
1949,小雪,1949-11-22 23:16:02,zhong
1949,大雪,1949-12-07 18:33:24,jie
1949,冬至,1949-12-22 12:22:51,zhong
1950,小寒,1950-01-06 05:38:43,jie
1950,大寒,1950-01-20 22:59:35,zhong
1950,立春,1950-02-04 17:20:46,jie
1950,雨水,1950-02-19 13:17:29,zhong
1950,惊蛰,1950-03-06 11:35:26,jie
1950,春分,1950-03-21 12:35:06,zhong
1950,清明,1950-04-05 16:44:27,jie
1950,谷雨,1950-04-20 23:59:06,zhong
1950,立夏,1950-05-06 10:24:41,jie
1950,小满,1950-05-21 23:27:07,zhong
1950,芒种,1950-06-06 14:51:00,jie
1950,夏至,1950-06-22 07:36:00,zhong
1950,小暑,1950-07-08 01:13:17,jie
1950,大暑,1950-07-23 18:29:53,zhong
